package	routine_count	total_lines	total_bytes
Pharmacy Benefits Management	121	14288	486170
Pharmacy Data Management	381	42250	2075268
Pharmacy Prescription Practice	1	79	2568
Phoenix VAMC	12	1415	59555
Police and Security	106	5733	296968
Problem List	94	10514	456038
Progress Notes	8	248	9687
Prosthetics	488	47943	1949890
Providence VAMC	5	507	20234
Quality Assurance Integration	22	1174	61875
Quasar	110	13937	647517
RPC Broker	40	5230	176424
Radiology Nuclear Medicine	515	55638	2494437
Real Time Location System	12	1172	46844
Record Tracking	154	8189	408237
Registration	2179	217933	8972896
Release Of Information	29	5761	246908
Remote Order Entry System	140	8332	381116
Richmond VAMC	2	106	3386
Run Time Library	30	2462	80857
Salt Lake OIFO	5	375	16181
Scheduling	1798	218981	8915279
Screen Handler for Fileman	20	741	48625
Shift Handoff Tool	19	2102	88336
Silver Sprint OIFO Applications	6	337	15490
Social Work	1	84	3234
Spinal Cord Dysfunction	4	172	4626
Suicide Hotline	4	235	12519
Surgery	692	37501	2259346
Survey Generator	39	1611	101370
Text Integration Utility	548	58846	2640078
Toolkit	286	28542	1224771
Uncategorized	702	40920	1780443
Utilization Management Rollup	39	2169	91821
Utilization Review	38	1729	89485
VA Certified Components - DSSI	66	8276	322865
VA FileMan	861	95215	3477461
VA Point of Service	48	8503	345508
VBECS	63	7629	317454
VDEF	12	1300	51094
VPE Shell	339	27782	1038407
Vendor - Audiofax Inc	1	177	11477
Vendor - Document Storage Systems	128	12324	557124
Vendor - ISI	61	7615	278439
Vendor - Pioneer	30	1129	28429
Veterans Data Integration and Federation	1	55	2339
Virtual Patient Record	104	13320	527681
VistA Integration Adapter	16	2778	117688
VistA Web	1	71	2210
VistALink	17	2442	75034
VistALink Security	7	1081	43918
Visual Impairment Service Team	32	1964	89646
Voluntary Timekeeping	1	105	4098
WEBVRAM	7	575	18392
Washington VAMC	2	118	7352
Web Services Client	19	3317	111411
West Palm Beach VAMC	21	2448	83774
Womens Health	128	15967	600253
Wounded Injured and Ill Warriors	10	708	33428
